Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,,,,,,,,,,,,
PS1301-2,77.99,-6.58,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,99.4,0.6,0,0.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,490,,,,,,,,,,,,
PS1299-1,77.98,-4.29,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,100,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1109,,,,,,,,,,,,
PS1289-1,77.98,9.42,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,7.5,91.1,1.1,0,1.1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,347,,,,,,,,,,,,
V23-63,77.96,0.2,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,1.8,0,0,0,0,1,94.3,2.9,0,2.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,619,,,,,,,,,,,,
V28-25,76.82,-1.33,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,702,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,,,,,,,,,,,,
V27-74,76.47,6.91,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1.1,95,3.9,0,3.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,554,,,,,,,,,,,,
GIK23398-2,76.44,8.99,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,92.6,1.5,0,1.5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,1058,,,,,,,,,,,,
V27-56,76.16,-5.4,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.2,97.5,2.3,0,2.3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,661,,,,,,,,,,,,
V29-215,75.93,-5.12,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,1,95.5,2.2,0,2.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,1.2,,668,,,,,,,,,,,,
PS1229-1,75.84,11.53,Nordic Seas,0,0,0,0.2,0.2,0,0,0,0,0,,0,0,0.5,0,0,0,0,2.9,93.2,2.9,0,2.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.3,,,0,0,0,,527,,,,,,,,,,,,
PS2616-7,75,-7.34,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0,99.2,0.6,0,0.6,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,531,,,,,,,,,,,,
V27-82,74.99,-10.81,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.8,96.2,3,0,3,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,493,,,,,,,,,,,,
GIK23390-1,74.95,13.01,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,11.5,83.3,5,0,5,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,415,,,,,,,,,,,,
PS1706-1,74.23,-10.04,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.4,0,0,0,0,0.2,99,0.4,0,0.4,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,497,,,,,,,,,,,,
PS2613-1,74.18,-0.48,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.3,98.7,0.9,0,0.9,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0.1,,,0,0,0,,1524,,,,,,,,,,,,
GIK23508-1,73.86,-9.4,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,2.2,96,1.7,0,1.7,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,744,,,,,,,,,,,,
GIK23509-1,73.83,-13.5,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.5,99.3,0.2,0,0.2,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,786,,,,,,,,,,,,
GIK23507-1,73.83,-9.25,Nordic Seas,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.8,98.2,1,0,1,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,,,0,0,0,,501,,,,,,,,,,,,
