Core,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Ocean,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics
GeoB1716-2,-27.96,14.005,South Atlantic,0.2,0,0,1,1,0,0.1,0,,0,,1,0.4,10.8,1.3,0.3,0,0,2.1,3.4,18.3,42.1,18.3,,0,0,14,0.7,0.1,0.8,1.1,,2,0,,0,0,,0,0,1.1,,,0,0,0,,311
RC17-040,-28.08,13.015,South Atlantic,1,0,0,9,9,1,2,1,3,0,0,4,7,39,13,1,1,0,8,30,179,15,179,0,0,0,84,6,1,7,0,0,6,2,0,0,0,0,0,0,7,0,0,0,0,0,1,418
V20-213,-28.33,-13.15,South Atlantic,1.3,0.3,4.4,22.1,26.5,2.7,1.3,0.7,,0.1,,2.3,1,3.2,12.1,1.2,1.5,0,0,0.2,7.9,0.2,7.9,,0,0.1,14.1,7.7,1.1,8.8,0.6,,1.1,3,,0.6,0.1,,0.7,0,6.6,,,0,0,2.5,,895
RC11-26,-28.58,-30.058,South Atlantic,0.7,2,3.8,43.1,46.9,4.5,1.8,0.7,,0,,3.3,3.3,0.2,4.5,0.9,1.1,0,0,0,0.7,0.2,0.7,,0,0,2.9,0.7,5.1,5.8,0.7,,2.2,2.9,,1.3,0,,1.3,0,7.1,,,0,0,6.3,,448
V12-18,-28.68,-34.483,South Atlantic,1.3,0.8,2.8,47.8,50.6,1.8,1,1.5,,0,,3.3,3.3,1.5,3.5,1.5,1,0,0,0,1.3,0,1.3,,0,0,6.3,1.3,4,5.3,0,,3.5,1.8,,0,0,,0.5,0.5,8,,,0,0,1.9,,399
V16-189,-28.83,-41.033,South Atlantic,0,5.8,0,38,38,0,5.5,1.2,,0,,1.2,0,0.3,1.5,0,0,0,0,0,0.3,1.5,0.3,,0,0.3,12.6,0.6,9.8,10.4,0,,6.1,0.9,,6.4,1.2,,7.6,0,4,,,0,0,2.8,,326
GeoB1729-1,-28.89,1.0017,South Atlantic,1.1,0.5,0,14,14,0.5,1.8,0.4,,0.6,,4.1,1.8,11.5,2.4,0.7,0,0,0,0,1,2.6,1,,0,0.1,29.5,4.9,5,9.9,0.7,,2.7,4.5,,1.5,0,,1.5,0,8,,,0,0,0.2,,544
GeoB1719-5,-28.93,14.173,South Atlantic,0,0,0,0.2,0.2,0,0,0,,0,,0,0,73.7,0,0,0,0,0,1.6,9.2,5,9.2,,0,0,8.7,0.2,0,0.2,0,,0.2,0,,0,0,,0,0,1.2,,,0,0,0,,398
A260210A,-29.13,-34.567,South Atlantic,0.9,1.7,3.1,42.7,45.8,3,2.3,2.1,,0,,4.6,0,0.6,7.7,1.1,0.7,0,0,0,0.7,0.1,0.7,,0,0,3,0.5,6.3,6.8,0,,2.3,3.2,,1.5,0.2,,1.7,0,9.4,,,0,0,2.3,,851
RC15-145,-29.22,-45.47,South Atlantic,1.6,0.3,5.7,36.2,41.9,1.6,3.3,1.1,,0,,3,2.7,2.7,3.5,0.5,0.5,0,0,0,0,0.3,0,,0,0,7.4,0.3,3.5,3.8,0,,1.9,2.5,,3,0,,3,0,16.3,,,0,0,2.1,,367
V22-71,-29.42,-33.417,South Atlantic,1.6,2.7,1.9,35.7,37.6,4.4,3,1.9,,0,,6.3,2.2,2.7,3.5,0.3,0.5,0,0,0,2.2,0,2.2,,0,0,6,3.5,5.4,8.9,0,,3.3,3.5,,0.3,0,,0.3,0,7.1,,,0,0,2,,367
GeoB1722-3,-29.45,11.75,South Atlantic,1,0,0,4.7,4.7,0,1.3,0,,0,,2,0,9.5,0.9,0.9,0,0,0.3,0.6,16.7,9.5,16.7,,0,0,38.6,4.7,0.6,5.3,1,,4.5,1.1,,0,0,,0,0,2.3,,,0,0,0,,544
V19-242,-29.52,9.5832,South Atlantic,0.5,0,0,1.6,1.6,0,0,0.3,,0,,0.5,0,0.5,0.8,0.3,0,0,0,1,45.1,0.5,45.1,,0,0,44.5,0.3,0,0.3,0,,3.1,0,,0,0,,0,0,0.3,,,0,0,0.7,,384
V27-215,-29.53,2.19,South Atlantic,2.2,0,0,9.6,9.6,1.1,2.2,1.4,,0,,2.5,1.4,1.1,13.7,1.1,0.5,0,0,0,4.9,0,4.9,,0,0.3,32.4,2.7,3.8,6.5,0,,3.8,6.9,,2.5,0,,2.5,0,3,,,0,0,2.9,,364
GeoB1728-3,-29.84,2.4067,South Atlantic,0.8,0.2,0,6.8,6.8,0.8,1.3,0.5,,0.2,,3.4,2.1,7.8,1,1.5,0.2,0,0,0.2,3.4,2,3.4,,0,0,23.1,3.4,3.8,7.2,0.4,,4.3,4.5,,0.4,0.1,,0.6,0,27.1,,,0,0,0.8,,1136
V26-68,-30.36,-15.8,South Atlantic,0.5,1.3,1.1,21.4,22.5,1.1,0.6,0.6,,0.2,,2,0.6,1.1,18,0.3,2,0,0,0.2,3.6,0,3.6,,0,0,21.3,5.6,3.3,8.9,2.5,,2.8,2.7,,0.2,0,,0.5,0,5.5,,,0,0,1.5,,598
RC17-043,-30.43,13.55,South Atlantic,2,0,0,21,21,0,2,1,3,0,0,4,3,30,40,0,0,0,0,3,131,6,131,0,0,0,156,18,2,20,2,0,4,4,0,1,0,0,1,0,18,0,0,0,0,0,3,449
V23-182,-30.45,-11.683,South Atlantic,0.1,0,0.4,4.1,4.5,0,6.6,0,,0,,4,0,48.6,2,0,0,0.2,0.2,0,11,9.2,11,,0,0.6,4.5,0,3.9,3.9,0.7,,0.5,0.6,,0,0,,0.2,0,3,,,0.2,0,0,,640
RC12-303,-30.48,11.547,South Atlantic,0,0,0,2.7,2.7,0,0,0,,0,,1.2,0,0.8,0.4,1.2,0,0,0,0.8,31.5,1.9,31.5,,0,0,52.5,1.6,0.4,2,0,,3.1,0,,0,0,,0,0,0,,,0,0,1.9,,257
